,index,est,value,beta,se,bias,variance
816,72,IPS,-0.03286100191378989,-1.0,14.308246129029483,6.3310531230298315,1.6039357052003664
817,72,SNIPS,-0.6686161226475871,-1.0,19.52207616133441,13.582144156112667,0.5372645094594612
818,72,BIPW,-2.3481723045690583,-1.0,37.184817863023476,34.37283758504899,0.05527213016244264
819,73,IPS,-0.022145437034553038,-1.0,14.227295041479186,6.3310531230298315,1.5769087349374402
820,73,SNIPS,-0.45059778624239755,-1.0,17.643032721366872,13.582144156112667,0.26518890767453607
821,73,BIPW,-2.9525632007551774,-1.0,44.921179671519006,34.37283758504899,0.7047453938531172
822,74,IPS,-0.05635616442724829,-1.0,14.486544894108736,6.3310531230298315,1.6639993689723196
823,74,SNIPS,-1.168144337806156,-1.0,24.18581490941003,13.582144156112667,1.5190846205049007
824,74,BIPW,-2.188085642501146,-1.0,35.25804930984572,34.37283758504899,0.005627039207978897
825,75,IPS,-0.07280691489143215,-1.0,14.612042562302632,6.3310531230298315,1.7067116490421803
826,75,SNIPS,-1.4897391669614224,-1.0,27.452385435869683,13.582144156112667,2.415246511161187
827,75,BIPW,-2.291120893580086,-1.0,36.49228107304382,34.37283758504899,0.03170139105161284
828,76,IPS,-0.2941548628999556,-1.0,16.353273594648112,6.3310531230298315,2.334049681415442
829,76,SNIPS,-0.3982749471405262,-1.0,17.20622077293319,13.582144156112667,0.21403772991495595
830,76,BIPW,-1.6217224978544225,-1.0,28.85285899436452,34.37283758504899,0.24142438142390552
831,77,IPS,-0.03473283386114054,-1.0,14.32241050657289,6.3310531230298315,1.6086804313666676
832,77,SNIPS,-0.6895851577923587,-1.0,19.707814165899077,13.582144156112667,0.5684441148042427
833,77,BIPW,-1.6141018913885268,-1.0,28.77104911017007,34.37283758504899,0.2489712181999642
834,78,IPS,-0.05585260892292289,-1.0,14.48271196292797,6.3310531230298315,1.6627004886215342
835,78,SNIPS,-1.122215394910364,-1.0,23.736175784911445,13.582144156112667,1.4079781868442733
836,78,BIPW,-1.7122549300948238,-1.0,29.833642452203186,34.37283758504899,0.16065436281800605
837,79,IPS,-0.11152558567870133,-1.0,14.909551368276036,6.3310531230298315,1.8093758370907458
838,79,SNIPS,-2.2651663637636483,-1.0,36.179378096118235,13.582144156112667,5.426726491790868
